lat,long
9.8742465973,-83.6644668579
9.8738155365,-83.6647644043
9.8738079071,-83.6647796631
9.8763618469,-83.6636047363
9.8738069534,-83.6647644043
9.8756933212,-83.6639022827
9.8750190735,-83.664352417
9.8748464584,-83.6644058228
9.8759355545,-83.663772583
9.8742485046,-83.6644668579
9.8738193512,-83.6647644043
9.8737726212,-83.6647796631
9.8749704361,-83.6641921997
9.8749694824,-83.6641921997
9.8740282059,-83.6646194458
9.8738193512,-83.6647644043
9.8762359619,-83.6636734009
9.8759222031,-83.6637878418
9.8747367859,-83.6642913818
9.8737916946,-83.6647644043
9.8752412796,-83.6644058228
9.8742647171,-83.6645965576
9.8761663437,-83.6636886597
9.8746147156,-83.6645050049
9.8754301071,-83.6639938354
9.8750562668,-83.6641464233
9.8749799728,-83.6644515991
9.8737573624,-83.6648254395
9.8763551712,-83.6636886597
9.8763551712,-83.6636886597
9.8737640381,-83.6647796631
9.8760890961,-83.6637191772
9.8737735748,-83.6647796631
9.8747348785,-83.6642913818
9.8751392365,-83.6641311646
9.8749351501,-83.6641921997
9.8737726212,-83.6647796631
9.874247551,-83.6644668579
9.8756322861,-83.6639175415
9.8737592697,-83.6648254395
9.8751535416,-83.6641311646
9.8763618469,-83.6636047363
9.875377655,-83.6640167236
9.8765926361,-83.6635284424
9.8748645782,-83.6642379761
9.87479496,-83.664276123
9.8749818802,-83.6641769409
9.875377655,-83.6640167236
9.8765106201,-83.6635437012
9.8765354156,-83.6635437012
9.8765954971,-83.6635284424
9.8748540878,-83.6642379761
9.8737602234,-83.6648254395
9.8761167526,-83.6637191772
9.8737697601,-83.6647796631
9.8764562607,-83.6635742188
9.874247551,-83.6644668579
9.8760795593,-83.6637191772
9.8738002777,-83.6647491455
9.8749818802,-83.6641769409
9.8743562698,-83.6645812988
9.8738088608,-83.6647644043
9.8763456345,-83.6636199951
9.8737621307,-83.6648254395
9.8754777908,-83.6639785767
9.8737792969,-83.6648254395
9.8757066727,-83.6638870239
9.8750429153,-83.6641616821
9.8765068054,-83.6635437012
9.875837326,-83.6638336182
9.8747463226,-83.664276123
9.8738069534,-83.6647644043
9.8738079071,-83.6647644043
9.8763341904,-83.6636199951
9.8752746582,-83.6640777588
9.8755292892,-83.6639480591
9.876578331,-83.6635055542
9.8737573624,-83.6648101807
9.8738155365,-83.6647644043
9.8742494583,-83.6644668579
9.8765153885,-83.6635437012
9.8754062653,-83.6640167236
9.8756570816,-83.6639022827
9.8745861053,-83.6643371582
9.8751182556,-83.6641311646
9.875371933,-83.6640319824
9.8737792969,-83.6647796631
9.8765630722,-83.6635437012
9.8754749298,-83.6639938354
9.873831749,-83.6647491455
9.8765907288,-83.6635284424
9.8751792908,-83.6640930176
9.8738079071,-83.6647644043
9.8755731583,-83.6639328003
9.8737640381,-83.6648254395
9.8761262894,-83.6637039185
9.873755455,-83.6648254395
9.8744258881,-83.664390564
9.8738059998,-83.6647644043
9.8756303787,-83.6639175415
9.8764123917,-83.6636428833
9.8737821579,-83.6647644043
9.8737945557,-83.6647949219
9.8738193512,-83.6647644043
9.8738145828,-83.6647644043
9.8738079071,-83.6647644043
9.8749446869,-83.6642074585
9.8761167526,-83.6637191772
9.8749933243,-83.6641769409
9.8746643066,-83.6643066406
9.8747081757,-83.6643066406
9.8747768402,-83.6644363403
9.8755016327,-83.6639785767
9.8738079071,-83.6647491455
9.8759565353,-83.6637878418
9.8744945526,-83.6645507812
9.873755455,-83.6648101807
9.8749876022,-83.6641616821
9.8762845993,-83.6636581421
9.8737630844,-83.6648101807
9.8737573624,-83.6648101807
9.8750457764,-83.6641616821
9.8757724762,-83.6638641357
9.8757829666,-83.663848877
9.8737535477,-83.6648254395
9.8745203018,-83.664352417
9.8750591278,-83.6643371582
9.8742427826,-83.6644821167
9.874247551,-83.6644668579
9.8751182556,-83.6641311646
9.8738231659,-83.6647644043
9.8749065399,-83.6642074585
9.8739452362,-83.6647491455
9.8756437302,-83.6639022827
9.8747816086,-83.664276123
9.8738193512,-83.6647644043
9.8757362366,-83.6638641357
9.873758316,-83.6647796631
9.874341011,-83.6644210815
9.8761539459,-83.6636886597
9.8737773895,-83.6648254395
9.8738040924,-83.6647796631
9.8737735748,-83.6647796631
9.8738117218,-83.6647644043
9.8738059998,-83.6647796631
9.8753643036,-83.6640319824
9.8755407333,-83.6639480591
9.874297142,-83.6645965576
9.876455307,-83.66355896
9.8737611771,-83.6648101807
9.8737726212,-83.6647796631
9.8742456436,-83.6644668579
9.873758316,-83.6648101807
9.876584053,-83.6635284424
9.8738069534,-83.6647491455
9.8765821457,-83.6635284424
9.8754434586,-83.6639938354
9.8760700226,-83.663734436
9.8757724762,-83.6638641357
9.8759946823,-83.6637496948
9.8762845993,-83.6636581421
