Latitude,longitude, GPSalt, BARalt, distlidar, fin
0.0000000000,0.0000000000,0.0000000000,668.59,1,0.00
0.0000000000,0.0000000000,0.0000000000,668.95,1,0.00
0.0000000000,0.0000000000,0.0000000000,668.68,1,0.00
0.0000000000,0.0000000000,0.0000000000,668.86,1,0.00
0.0000000000,0.0000000000,0.0000000000,668.86,1,0.00
0.0000000000,0.0000000000,0.0000000000,669.13,1,0.00
0.0000000000,0.0000000000,0.0000000000,669.39,1,0.00
0.0000000000,0.0000000000,0.0000000000,668.77,1,0.00
0.0000000000,0.0000000000,0.0000000000,669.48,1,0.00
0.0000000000,0.0000000000,0.0000000000,669.66,1,0.00
0.0000000000,0.0000000000,0.0000000000,668.86,1,0.00
0.0000000000,0.0000000000,0.0000000000,669.39,1,0.00
0.0000000000,0.0000000000,0.0000000000,669.57,1,0.00
9.8738069534,-83.6647644043,676.7999877930,669.30,1,12.00
9.8738069534,-83.6647644043,676.7999877930,669.39,1,12.00
9.8738069534,-83.6647644043,676.7999877930,669.75,1,12.00
9.8738069534,-83.6647644043,676.7999877930,669.30,1,12.00
9.8738069534,-83.6647644043,676.7999877930,669.57,1,12.00
9.8738069534,-83.6647644043,676.7999877930,669.66,1,12.00
9.8738069534,-83.6647644043,676.7999877930,669.57,1,12.00
9.8738069534,-83.6647644043,676.7999877930,669.48,1,12.00
9.8738069534,-83.6647644043,676.7999877930,669.21,1,12.00
9.8738069534,-83.6647644043,676.7999877930,669.48,1,12.00
9.8738069534,-83.6647644043,676.7999877930,669.66,1,12.00
9.8738069534,-83.6647644043,676.7999877930,669.66,1,12.00
9.8738069534,-83.6647644043,676.7999877930,669.66,1,12.00
9.8738069534,-83.6647644043,676.7999877930,669.66,1,12.00
9.8738069534,-83.6647644043,676.7999877930,669.04,1,12.00
9.8738069534,-83.6647644043,676.7999877930,669.66,1,12.00
9.8738069534,-83.6647644043,676.7999877930,669.30,1,12.00
9.8738069534,-83.6647644043,676.5000000000,669.39,1,12.00
9.8738069534,-83.6647644043,676.5000000000,669.48,1,12.00
9.8738069534,-83.6647644043,676.5000000000,669.21,1,12.00
9.8738069534,-83.6647644043,676.5000000000,669.13,1,12.00
9.8738069534,-83.6647644043,676.5000000000,669.93,1,12.00
9.8738069534,-83.6647644043,676.5000000000,669.57,1,12.00
9.8738069534,-83.6647644043,676.5000000000,669.48,1,12.00
9.8738069534,-83.6647644043,676.5000000000,669.39,1,12.00
